N,α,λ,nsamples,t,t_err,E,E_err,Δ0,Δ0_err
10,0.4,0.05,1000,22.07899999999995,0.020424891093373674,-8.024398603740602,0.00013577260025455923,0.991070392756573,0.014673426547724504
10,0.4,0.06,1000,22.538999999999977,0.02183932132544315,-6.688540499507344,0.00014314763034022003,0.9848784373008903,0.0135885360274712
10,0.4,0.07,1000,22.960000000000026,0.024556119461409266,-5.7347669826136265,0.00013373838525136217,0.9716016496094535,0.013846270956692303
10,0.4,0.08,1000,23.485000000000014,0.026238587299309064,-5.018981614197927,0.00013697402466137664,0.9920172345568942,0.014160909359932387
10,0.4,0.09,1000,23.935000000000027,0.029148321128748135,-4.462726021795421,0.00014738155015784404,0.9741452643323116,0.013126839586449666
10,0.4,0.1,1000,24.5,0.03342330200798713,-4.017475641085977,0.000148311949332386,0.9841519701378726,0.014231275741922166
10,0.4,0.11,1000,24.961,0.037132975343457955,-3.6532387348087445,0.0001421538120467737,0.9605061618621863,0.013556587506455256
10,0.4,0.12,1000,25.659000000000017,0.040894882215154915,-3.3498184644236724,0.0001508129747687067,1.0107823882764313,0.013393129952690843
10,0.4,0.13,1000,26.23299999999998,0.045063751971420894,-3.0931291121631186,0.00015270896553403704,0.9883791836652093,0.013910503834982376
10,0.4,0.14,1000,26.89000000000001,0.04895197949313489,-2.8727232793396493,0.0001459697943889414,0.9689514011142607,0.014415880891162662
10,0.4,0.15,1000,27.598999999999954,0.05233486350357608,-2.682420535703444,0.00015567380761369646,0.9892036067249534,0.013778412885700371
10,0.4,0.16,1000,28.247000000000018,0.057734948898603214,-2.5151909074937957,0.000160952467915645,0.9750206436069943,0.013870059357048586
10,0.4,0.17,1000,29.12300000000001,0.06449830254379596,-2.368217326988358,0.0001583016440443094,0.976621815475557,0.013737372216410325
10,0.4,0.18,1000,30.007999999999996,0.06837112409936381,-2.2376203362026725,0.00015937641367876792,0.9789808205368608,0.013524784191753812
10,0.4,0.19,1000,30.824999999999974,0.07799011127994022,-2.1203656491853033,0.00015301857469545064,0.9669278719687443,0.013821940698624134
10,0.4,0.2,1000,31.77700000000001,0.08312749954847184,-2.015200320734565,0.0001628416625552235,0.9792836783699208,0.013747272361021494
10,0.4,0.21,1000,32.821999999999974,0.09400613359325624,-1.9200400435242597,0.00016417143072944897,0.9667682481808362,0.013704420905056499
10,0.4,0.22,1000,33.91000000000004,0.10574063117402459,-1.833021771994373,0.0002252194328485299,0.9959835820143774,0.01381209719309811
10,0.4,0.23,1000,34.91600000000001,0.12478186773131143,-1.753778170736698,0.00028034662630971335,0.9739335152233364,0.013857977831578347
10,0.4,0.24,1000,36.226000000000084,0.12771544634551918,-1.6816995842679905,0.00017149606366699755,0.9886156306164505,0.013904571897039293
10,0.4,0.25,1000,37.539999999999985,0.1412953090670896,-1.6160397748369242,0.0006999318065929515,1.0040584602039875,0.013748996342481497
10,0.4,0.26,1000,39.26700000000003,0.1805500188571282,-1.5542169343329704,0.00037597186815259073,0.9945487744459423,0.014315167755171516
10,0.4,0.27,1000,40.40700000000002,0.18237492045676573,-1.496422985705626,0.0003096736347494907,0.9542971906749897,0.013612379897680535
10,0.4,0.28,1000,42.59899999999994,0.2473567957109414,-1.4442621987021014,0.00040964077326212514,0.9731957225689954,0.013585254307175798
10,0.4,0.29,1000,43.871999999999986,0.26308711642881893,-1.3973475459492946,0.0009370635868961412,0.9798688282234393,0.014669615641531015
10,0.4,0.3,1000,46.814000000000014,0.44488799638710114,-1.3500642629711426,0.0005606108821629263,0.9616092548874658,0.01340349376359328
10,0.4,0.31,1000,48.448000000000015,0.35378872574244424,-1.3079429467693922,0.000874660368766725,0.9742471090905036,0.014266605837572256
10,0.4,0.32,1000,51.32200000000001,0.42079613280707023,-1.270428075093862,0.001471871792064457,0.9786092421342052,0.015535942357457994
10,0.4,0.33,1000,55.64399999999997,0.9161258377267564,-1.2350958810042638,0.001953456244427266,0.990625804603123,0.01826018249454925
10,0.4,0.34,1000,57.98699999999997,0.8349706623630604,-1.2013877225842715,0.0016263234136170818,0.9999459855200777,0.017609167760687047
10,0.4,0.35,1000,60.89399999999996,1.1357511587908218,-1.1714428205486094,0.002165061499294991,1.003020063457047,0.02091872362983604
